x,y,value_dec,value_hex,low16,high16
0,0,197,0x000000C5,197,0
1,0,197,0x000000C5,197,0
2,0,197,0x000000C5,197,0
3,0,197,0x000000C5,197,0
4,0,197,0x000000C5,197,0
5,0,197,0x000000C5,197,0
6,0,197,0x000000C5,197,0
7,0,197,0x000000C5,197,0
8,0,197,0x000000C5,197,0
9,0,197,0x000000C5,197,0
10,0,197,0x000000C5,197,0
11,0,197,0x000000C5,197,0
12,0,197,0x000000C5,197,0
13,0,197,0x000000C5,197,0
14,0,197,0x000000C5,197,0
15,0,197,0x000000C5,197,0
16,0,197,0x000000C5,197,0
17,0,197,0x000000C5,197,0
18,0,197,0x000000C5,197,0
19,0,197,0x000000C5,197,0
0,1,197,0x000000C5,197,0
1,1,197,0x000000C5,197,0
2,1,197,0x000000C5,197,0
3,1,197,0x000000C5,197,0
4,1,197,0x000000C5,197,0
5,1,197,0x000000C5,197,0
6,1,197,0x000000C5,197,0
7,1,197,0x000000C5,197,0
8,1,197,0x000000C5,197,0
9,1,197,0x000000C5,197,0
10,1,197,0x000000C5,197,0
11,1,197,0x000000C5,197,0
12,1,197,0x000000C5,197,0
13,1,197,0x000000C5,197,0
14,1,197,0x000000C5,197,0
15,1,197,0x000000C5,197,0
16,1,197,0x000000C5,197,0
17,1,197,0x000000C5,197,0
18,1,197,0x000000C5,197,0
19,1,197,0x000000C5,197,0
0,2,197,0x000000C5,197,0
1,2,197,0x000000C5,197,0
2,2,197,0x000000C5,197,0
3,2,197,0x000000C5,197,0
4,2,197,0x000000C5,197,0
5,2,197,0x000000C5,197,0
6,2,197,0x000000C5,197,0
7,2,197,0x000000C5,197,0
8,2,197,0x000000C5,197,0
9,2,197,0x000000C5,197,0
10,2,197,0x000000C5,197,0
11,2,197,0x000000C5,197,0
12,2,197,0x000000C5,197,0
13,2,197,0x000000C5,197,0
14,2,197,0x000000C5,197,0
15,2,197,0x000000C5,197,0
16,2,197,0x000000C5,197,0
17,2,197,0x000000C5,197,0
18,2,197,0x000000C5,197,0
19,2,197,0x000000C5,197,0
0,3,197,0x000000C5,197,0
1,3,197,0x000000C5,197,0
2,3,197,0x000000C5,197,0
3,3,0,0x00000000,0,0
4,3,1,0x00000001,1,0
5,3,2,0x00000002,2,0
6,3,3,0x00000003,3,0
7,3,4,0x00000004,4,0
8,3,5,0x00000005,5,0
9,3,6,0x00000006,6,0
10,3,7,0x00000007,7,0
11,3,8,0x00000008,8,0
12,3,9,0x00000009,9,0
13,3,10,0x0000000A,10,0
14,3,11,0x0000000B,11,0
15,3,12,0x0000000C,12,0
16,3,13,0x0000000D,13,0
17,3,197,0x000000C5,197,0
18,3,197,0x000000C5,197,0
19,3,197,0x000000C5,197,0
0,4,197,0x000000C5,197,0
1,4,197,0x000000C5,197,0
2,4,197,0x000000C5,197,0
3,4,14,0x0000000E,14,0
4,4,15,0x0000000F,15,0
5,4,16,0x00000010,16,0
6,4,17,0x00000011,17,0
7,4,18,0x00000012,18,0
8,4,19,0x00000013,19,0
9,4,20,0x00000014,20,0
10,4,21,0x00000015,21,0
11,4,22,0x00000016,22,0
12,4,23,0x00000017,23,0
13,4,24,0x00000018,24,0
14,4,25,0x00000019,25,0
15,4,26,0x0000001A,26,0
16,4,27,0x0000001B,27,0
17,4,197,0x000000C5,197,0
18,4,197,0x000000C5,197,0
19,4,197,0x000000C5,197,0
0,5,197,0x000000C5,197,0
1,5,197,0x000000C5,197,0
2,5,197,0x000000C5,197,0
3,5,28,0x0000001C,28,0
4,5,29,0x0000001D,29,0
5,5,30,0x0000001E,30,0
6,5,31,0x0000001F,31,0
7,5,32,0x00000020,32,0
8,5,33,0x00000021,33,0
9,5,34,0x00000022,34,0
10,5,35,0x00000023,35,0
11,5,36,0x00000024,36,0
12,5,37,0x00000025,37,0
13,5,38,0x00000026,38,0
14,5,39,0x00000027,39,0
15,5,40,0x00000028,40,0
16,5,41,0x00000029,41,0
17,5,197,0x000000C5,197,0
18,5,197,0x000000C5,197,0
19,5,197,0x000000C5,197,0
0,6,197,0x000000C5,197,0
1,6,197,0x000000C5,197,0
2,6,197,0x000000C5,197,0
3,6,42,0x0000002A,42,0
4,6,43,0x0000002B,43,0
5,6,44,0x0000002C,44,0
6,6,45,0x0000002D,45,0
7,6,46,0x0000002E,46,0
8,6,47,0x0000002F,47,0
9,6,48,0x00000030,48,0
10,6,49,0x00000031,49,0
11,6,50,0x00000032,50,0
12,6,51,0x00000033,51,0
13,6,52,0x00000034,52,0
14,6,53,0x00000035,53,0
15,6,54,0x00000036,54,0
16,6,55,0x00000037,55,0
17,6,197,0x000000C5,197,0
18,6,197,0x000000C5,197,0
19,6,197,0x000000C5,197,0
0,7,197,0x000000C5,197,0
1,7,197,0x000000C5,197,0
2,7,197,0x000000C5,197,0
3,7,56,0x00000038,56,0
4,7,57,0x00000039,57,0
5,7,58,0x0000003A,58,0
6,7,59,0x0000003B,59,0
7,7,60,0x0000003C,60,0
8,7,61,0x0000003D,61,0
9,7,62,0x0000003E,62,0
10,7,63,0x0000003F,63,0
11,7,64,0x00000040,64,0
12,7,65,0x00000041,65,0
13,7,66,0x00000042,66,0
14,7,67,0x00000043,67,0
15,7,68,0x00000044,68,0
16,7,69,0x00000045,69,0
17,7,197,0x000000C5,197,0
18,7,197,0x000000C5,197,0
19,7,197,0x000000C5,197,0
0,8,197,0x000000C5,197,0
1,8,197,0x000000C5,197,0
2,8,197,0x000000C5,197,0
3,8,70,0x00000046,70,0
4,8,71,0x00000047,71,0
5,8,72,0x00000048,72,0
6,8,73,0x00000049,73,0
7,8,74,0x0000004A,74,0
8,8,75,0x0000004B,75,0
9,8,76,0x0000004C,76,0
10,8,77,0x0000004D,77,0
11,8,78,0x0000004E,78,0
12,8,79,0x0000004F,79,0
13,8,80,0x00000050,80,0
14,8,81,0x00000051,81,0
15,8,82,0x00000052,82,0
16,8,83,0x00000053,83,0
17,8,197,0x000000C5,197,0
18,8,197,0x000000C5,197,0
19,8,197,0x000000C5,197,0
0,9,197,0x000000C5,197,0
1,9,197,0x000000C5,197,0
2,9,197,0x000000C5,197,0
3,9,84,0x00000054,84,0
4,9,85,0x00000055,85,0
5,9,86,0x00000056,86,0
6,9,87,0x00000057,87,0
7,9,88,0x00000058,88,0
8,9,89,0x00000059,89,0
9,9,90,0x0000005A,90,0
10,9,91,0x0000005B,91,0
11,9,92,0x0000005C,92,0
12,9,93,0x0000005D,93,0
13,9,94,0x0000005E,94,0
14,9,95,0x0000005F,95,0
15,9,96,0x00000060,96,0
16,9,97,0x00000061,97,0
17,9,197,0x000000C5,197,0
18,9,197,0x000000C5,197,0
19,9,197,0x000000C5,197,0
0,10,197,0x000000C5,197,0
1,10,197,0x000000C5,197,0
2,10,197,0x000000C5,197,0
3,10,98,0x00000062,98,0
4,10,99,0x00000063,99,0
5,10,100,0x00000064,100,0
6,10,101,0x00000065,101,0
7,10,102,0x00000066,102,0
8,10,103,0x00000067,103,0
9,10,104,0x00000068,104,0
10,10,105,0x00000069,105,0
11,10,106,0x0000006A,106,0
12,10,107,0x0000006B,107,0
13,10,108,0x0000006C,108,0
14,10,109,0x0000006D,109,0
15,10,110,0x0000006E,110,0
16,10,111,0x0000006F,111,0
17,10,197,0x000000C5,197,0
18,10,197,0x000000C5,197,0
19,10,197,0x000000C5,197,0
0,11,197,0x000000C5,197,0
1,11,197,0x000000C5,197,0
2,11,197,0x000000C5,197,0
3,11,112,0x00000070,112,0
4,11,113,0x00000071,113,0
5,11,114,0x00000072,114,0
6,11,115,0x00000073,115,0
7,11,116,0x00000074,116,0
8,11,117,0x00000075,117,0
9,11,118,0x00000076,118,0
10,11,119,0x00000077,119,0
11,11,120,0x00000078,120,0
12,11,121,0x00000079,121,0
13,11,122,0x0000007A,122,0
14,11,123,0x0000007B,123,0
15,11,124,0x0000007C,124,0
16,11,125,0x0000007D,125,0
17,11,197,0x000000C5,197,0
18,11,197,0x000000C5,197,0
19,11,197,0x000000C5,197,0
0,12,197,0x000000C5,197,0
1,12,197,0x000000C5,197,0
2,12,197,0x000000C5,197,0
3,12,126,0x0000007E,126,0
4,12,127,0x0000007F,127,0
5,12,128,0x00000080,128,0
6,12,129,0x00000081,129,0
7,12,130,0x00000082,130,0
8,12,131,0x00000083,131,0
9,12,132,0x00000084,132,0
10,12,133,0x00000085,133,0
11,12,134,0x00000086,134,0
12,12,135,0x00000087,135,0
13,12,136,0x00000088,136,0
14,12,137,0x00000089,137,0
15,12,138,0x0000008A,138,0
16,12,139,0x0000008B,139,0
17,12,197,0x000000C5,197,0
18,12,197,0x000000C5,197,0
19,12,197,0x000000C5,197,0
0,13,197,0x000000C5,197,0
1,13,197,0x000000C5,197,0
2,13,197,0x000000C5,197,0
3,13,140,0x0000008C,140,0
4,13,141,0x0000008D,141,0
5,13,142,0x0000008E,142,0
6,13,143,0x0000008F,143,0
7,13,144,0x00000090,144,0
8,13,145,0x00000091,145,0
9,13,146,0x00000092,146,0
10,13,147,0x00000093,147,0
11,13,148,0x00000094,148,0
12,13,149,0x00000095,149,0
13,13,150,0x00000096,150,0
14,13,151,0x00000097,151,0
15,13,152,0x00000098,152,0
16,13,153,0x00000099,153,0
17,13,197,0x000000C5,197,0
18,13,197,0x000000C5,197,0
19,13,197,0x000000C5,197,0
0,14,197,0x000000C5,197,0
1,14,197,0x000000C5,197,0
2,14,197,0x000000C5,197,0
3,14,154,0x0000009A,154,0
4,14,155,0x0000009B,155,0
5,14,156,0x0000009C,156,0
6,14,157,0x0000009D,157,0
7,14,158,0x0000009E,158,0
8,14,159,0x0000009F,159,0
9,14,160,0x000000A0,160,0
10,14,161,0x000000A1,161,0
11,14,162,0x000000A2,162,0
12,14,163,0x000000A3,163,0
13,14,164,0x000000A4,164,0
14,14,165,0x000000A5,165,0
15,14,166,0x000000A6,166,0
16,14,167,0x000000A7,167,0
17,14,197,0x000000C5,197,0
18,14,197,0x000000C5,197,0
19,14,197,0x000000C5,197,0
0,15,197,0x000000C5,197,0
1,15,197,0x000000C5,197,0
2,15,197,0x000000C5,197,0
3,15,168,0x000000A8,168,0
4,15,169,0x000000A9,169,0
5,15,170,0x000000AA,170,0
6,15,171,0x000000AB,171,0
7,15,172,0x000000AC,172,0
8,15,173,0x000000AD,173,0
9,15,174,0x000000AE,174,0
10,15,175,0x000000AF,175,0
11,15,176,0x000000B0,176,0
12,15,177,0x000000B1,177,0
13,15,178,0x000000B2,178,0
14,15,179,0x000000B3,179,0
15,15,180,0x000000B4,180,0
16,15,181,0x000000B5,181,0
