part_index,offset_x,offset_y,part_width,part_height,u0,v0,u1,v1,pixel_x0,pixel_y0,pixel_x1,pixel_y1
0,0.0,0.0,96.0,96.0,0.0,0.0,0.09600000083446503,0.048929665237665176,0,0,96,96
1,0.0,0.0,96.0,96.0,0.09799999743700027,0.0,0.1940000057220459,0.048929665237665176,98,0,194,96
2,0.0,0.0,96.0,96.0,0.19599999487400055,0.0,0.2919999957084656,0.048929665237665176,196,0,292,96
3,0.0,0.0,96.0,96.0,0.2939999997615814,0.0,0.38999998569488525,0.048929665237665176,294,0,390,96
4,0.0,0.0,96.0,96.0,0.3919999897480011,0.0,0.4880000054836273,0.048929665237665176,392,0,488,96
5,0.0,0.0,96.0,96.0,0.49000000953674316,0.0,0.5860000252723694,0.048929665237665176,490,0,586,96
6,0.0,0.0,96.0,96.0,0.5879999995231628,0.0,0.6840000152587891,0.048929665237665176,588,0,684,96
7,0.0,0.0,96.0,96.0,0.6859999895095825,0.0,0.7820000052452087,0.048929665237665176,686,0,782,96
8,0.0,0.0,96.0,96.0,0.7839999794960022,0.0,0.8799999952316284,0.048929665237665176,784,0,880,96
9,0.0,0.0,96.0,96.0,0.8820000290870667,0.0,0.9779999852180481,0.048929665237665176,882,0,978,96
10,0.0,0.0,96.0,96.0,0.0,0.05096840113401413,0.09600000083446503,0.09989806264638901,0,100,96,196
11,0.0,0.0,96.0,96.0,0.09799999743700027,0.05096840113401413,0.1940000057220459,0.09989806264638901,98,100,194,196
12,0.0,0.0,96.0,96.0,0.19599999487400055,0.05096840113401413,0.2919999957084656,0.09989806264638901,196,100,292,196
13,0.0,0.0,96.0,96.0,0.2939999997615814,0.05096840113401413,0.38999998569488525,0.09989806264638901,294,100,390,196
14,0.0,0.0,96.0,96.0,0.3919999897480011,0.05096840113401413,0.4880000054836273,0.09989806264638901,392,100,488,196
15,0.0,0.0,96.0,96.0,0.49000000953674316,0.05096840113401413,0.5860000252723694,0.09989806264638901,490,100,586,196
16,0.0,0.0,96.0,96.0,0.5879999995231628,0.05096840113401413,0.6840000152587891,0.09989806264638901,588,100,684,196
17,0.0,0.0,96.0,96.0,0.6859999895095825,0.05096840113401413,0.7820000052452087,0.09989806264638901,686,100,782,196
18,0.0,0.0,96.0,96.0,0.7839999794960022,0.05096840113401413,0.8799999952316284,0.09989806264638901,784,100,880,196
19,0.0,0.0,96.0,96.0,0.8820000290870667,0.05096840113401413,0.9779999852180481,0.09989806264638901,882,100,978,196
20,0.0,0.0,96.0,96.0,0.0,0.10091742873191833,0.09600000083446503,0.1498470902442932,0,198,96,294
21,0.0,0.0,96.0,96.0,0.09799999743700027,0.10091742873191833,0.1940000057220459,0.1498470902442932,98,198,194,294
22,0.0,0.0,96.0,96.0,0.19599999487400055,0.10091742873191833,0.2919999957084656,0.1498470902442932,196,198,292,294
23,0.0,0.0,96.0,96.0,0.2939999997615814,0.10091742873191833,0.38999998569488525,0.1498470902442932,294,198,390,294
24,0.0,0.0,96.0,96.0,0.3919999897480011,0.10091742873191833,0.4880000054836273,0.1498470902442932,392,198,488,294
25,0.0,0.0,96.0,96.0,0.49000000953674316,0.10091742873191833,0.5860000252723694,0.1498470902442932,490,198,586,294
26,0.0,0.0,96.0,96.0,0.5879999995231628,0.10091742873191833,0.6840000152587891,0.1498470902442932,588,198,684,294
27,0.0,0.0,96.0,96.0,0.6859999895095825,0.10091742873191833,0.7820000052452087,0.1498470902442932,686,198,782,294
28,0.0,0.0,96.0,96.0,0.7839999794960022,0.10091742873191833,0.8799999952316284,0.1498470902442932,784,198,880,294
29,0.0,0.0,96.0,96.0,0.8820000290870667,0.10091742873191833,0.9779999852180481,0.1498470902442932,882,198,978,294
30,0.0,0.0,96.0,96.0,0.0,0.15086646378040314,0.09600000083446503,0.19979612529277802,0,296,96,392
31,0.0,0.0,96.0,96.0,0.09799999743700027,0.15086646378040314,0.1940000057220459,0.19979612529277802,98,296,194,392
32,0.0,0.0,96.0,96.0,0.19599999487400055,0.15086646378040314,0.2919999957084656,0.19979612529277802,196,296,292,392
33,0.0,0.0,96.0,96.0,0.2939999997615814,0.15086646378040314,0.38999998569488525,0.19979612529277802,294,296,390,392
34,0.0,0.0,96.0,96.0,0.3919999897480011,0.15086646378040314,0.4880000054836273,0.19979612529277802,392,296,488,392
35,0.0,0.0,96.0,96.0,0.49000000953674316,0.15086646378040314,0.5860000252723694,0.19979612529277802,490,296,586,392
36,0.0,0.0,96.0,96.0,0.5879999995231628,0.15086646378040314,0.6840000152587891,0.19979612529277802,588,296,684,392
37,0.0,0.0,96.0,96.0,0.6859999895095825,0.15086646378040314,0.7820000052452087,0.19979612529277802,686,296,782,392
38,0.0,0.0,96.0,96.0,0.7839999794960022,0.15086646378040314,0.8799999952316284,0.19979612529277802,784,296,880,392
39,0.0,0.0,96.0,96.0,0.8820000290870667,0.15086646378040314,0.9779999852180481,0.19979612529277802,882,296,978,392
40,0.0,0.0,96.0,96.0,0.0,0.20081549882888794,0.09600000083446503,0.24974516034126282,0,394,96,490
41,0.0,0.0,96.0,96.0,0.09799999743700027,0.20081549882888794,0.1940000057220459,0.24974516034126282,98,394,194,490
42,0.0,0.0,96.0,96.0,0.19599999487400055,0.20081549882888794,0.2919999957084656,0.24974516034126282,196,394,292,490
43,0.0,0.0,96.0,96.0,0.2939999997615814,0.20081549882888794,0.38999998569488525,0.24974516034126282,294,394,390,490
44,0.0,0.0,96.0,96.0,0.3919999897480011,0.20081549882888794,0.4880000054836273,0.24974516034126282,392,394,488,490
45,0.0,0.0,96.0,96.0,0.49000000953674316,0.20081549882888794,0.5860000252723694,0.24974516034126282,490,394,586,490
46,0.0,0.0,96.0,96.0,0.5879999995231628,0.20081549882888794,0.6840000152587891,0.24974516034126282,588,394,684,490
47,0.0,0.0,96.0,96.0,0.6859999895095825,0.20081549882888794,0.7820000052452087,0.24974516034126282,686,394,782,490
48,0.0,0.0,96.0,96.0,0.7839999794960022,0.20081549882888794,0.8799999952316284,0.24974516034126282,784,394,880,490
49,0.0,0.0,96.0,96.0,0.8820000290870667,0.20081549882888794,0.9779999852180481,0.24974516034126282,882,394,978,490
50,0.0,0.0,96.0,96.0,0.0,0.25076451897621155,0.09600000083446503,0.2996941804885864,0,492,96,588
51,0.0,0.0,96.0,96.0,0.09799999743700027,0.25076451897621155,0.1940000057220459,0.2996941804885864,98,492,194,588
52,0.0,0.0,96.0,96.0,0.19599999487400055,0.25076451897621155,0.2919999957084656,0.2996941804885864,196,492,292,588
53,0.0,0.0,96.0,96.0,0.2939999997615814,0.25076451897621155,0.38999998569488525,0.2996941804885864,294,492,390,588
54,0.0,0.0,96.0,96.0,0.3919999897480011,0.25076451897621155,0.4880000054836273,0.2996941804885864,392,492,488,588
55,0.0,0.0,96.0,96.0,0.49000000953674316,0.25076451897621155,0.5860000252723694,0.2996941804885864,490,492,586,588
56,0.0,0.0,96.0,96.0,0.5879999995231628,0.25076451897621155,0.6840000152587891,0.2996941804885864,588,492,684,588
57,0.0,0.0,96.0,96.0,0.6859999895095825,0.25076451897621155,0.7820000052452087,0.2996941804885864,686,492,782,588
58,0.0,0.0,96.0,96.0,0.7839999794960022,0.25076451897621155,0.8799999952316284,0.2996941804885864,784,492,880,588
59,0.0,0.0,96.0,96.0,0.8820000290870667,0.25076451897621155,0.9779999852180481,0.2996941804885864,882,492,978,588
60,0.0,0.0,96.0,96.0,0.0,0.30071356892585754,0.09600000083446503,0.3496432304382324,0,590,96,686
61,0.0,0.0,96.0,96.0,0.09799999743700027,0.30071356892585754,0.1940000057220459,0.3496432304382324,98,590,194,686
