part_index,offset_x,offset_y,part_width,part_height,u0,v0,u1,v1,pixel_x0,pixel_y0,pixel_x1,pixel_y1
0,0.0,0.0,24.0,24.0,0.0,0.0,0.057692307978868484,0.04838709533214569,0,0,24,24
1,0.0,0.0,24.0,24.0,0.0625,0.0,0.12019230425357819,0.04838709533214569,26,0,50,24
2,0.0,0.0,24.0,24.0,0.125,0.0,0.18269230425357819,0.04838709533214569,52,0,76,24
3,0.0,0.0,24.0,24.0,0.1875,0.0,0.24519230425357819,0.04838709533214569,78,0,102,24
4,0.0,0.0,24.0,24.0,0.25,0.0,0.3076923191547394,0.04838709533214569,104,0,128,24
5,0.0,0.0,24.0,24.0,0.3125,0.0,0.3701923191547394,0.04838709533214569,130,0,154,24
6,0.0,0.0,24.0,24.0,0.375,0.0,0.4326923191547394,0.04838709533214569,156,0,180,24
7,0.0,0.0,24.0,24.0,0.4375,0.0,0.4951923191547394,0.04838709533214569,182,0,206,24
8,0.0,0.0,24.0,24.0,0.5,0.0,0.557692289352417,0.04838709533214569,208,0,232,24
9,0.0,0.0,24.0,24.0,0.5625,0.0,0.620192289352417,0.04838709533214569,234,0,258,24
10,0.0,0.0,24.0,24.0,0.625,0.0,0.682692289352417,0.04838709533214569,260,0,284,24
11,0.0,0.0,24.0,24.0,0.6875,0.0,0.745192289352417,0.04838709533214569,286,0,310,24
12,0.0,0.0,24.0,24.0,0.75,0.0,0.807692289352417,0.04838709533214569,312,0,336,24
13,0.0,0.0,24.0,24.0,0.8125,0.0,0.870192289352417,0.04838709533214569,338,0,362,24
14,0.0,0.0,24.0,24.0,0.875,0.0,0.932692289352417,0.04838709533214569,364,0,388,24
15,0.0,0.0,24.0,24.0,0.0,0.05645161122083664,0.057692307978868484,0.10483870655298233,0,28,24,52
16,0.0,0.0,24.0,24.0,0.0625,0.05645161122083664,0.12019230425357819,0.10483870655298233,26,28,50,52
17,0.0,0.0,24.0,24.0,0.125,0.05645161122083664,0.18269230425357819,0.10483870655298233,52,28,76,52
18,0.0,0.0,24.0,24.0,0.1875,0.05645161122083664,0.24519230425357819,0.10483870655298233,78,28,102,52
19,0.0,0.0,24.0,24.0,0.25,0.05645161122083664,0.3076923191547394,0.10483870655298233,104,28,128,52
20,0.0,0.0,24.0,24.0,0.3125,0.05645161122083664,0.3701923191547394,0.10483870655298233,130,28,154,52
21,0.0,0.0,24.0,24.0,0.375,0.05645161122083664,0.4326923191547394,0.10483870655298233,156,28,180,52
22,0.0,0.0,24.0,24.0,0.4375,0.05645161122083664,0.4951923191547394,0.10483870655298233,182,28,206,52
23,0.0,0.0,24.0,24.0,0.5,0.05645161122083664,0.557692289352417,0.10483870655298233,208,28,232,52
24,0.0,0.0,24.0,24.0,0.5625,0.05645161122083664,0.620192289352417,0.10483870655298233,234,28,258,52
25,0.0,0.0,24.0,24.0,0.625,0.05645161122083664,0.682692289352417,0.10483870655298233,260,28,284,52
26,0.0,0.0,24.0,24.0,0.6875,0.05645161122083664,0.745192289352417,0.10483870655298233,286,28,310,52
27,0.0,0.0,24.0,24.0,0.75,0.05645161122083664,0.807692289352417,0.10483870655298233,312,28,336,52
28,0.0,0.0,24.0,24.0,0.8125,0.05645161122083664,0.870192289352417,0.10483870655298233,338,28,362,52
29,0.0,0.0,24.0,24.0,0.875,0.05645161122083664,0.932692289352417,0.10483870655298233,364,28,388,52
30,0.0,0.0,24.0,24.0,0.0,0.1088709682226181,0.057692307978868484,0.1572580635547638,0,54,24,78
31,0.0,0.0,24.0,24.0,0.0625,0.1088709682226181,0.12019230425357819,0.1572580635547638,26,54,50,78
32,0.0,0.0,24.0,24.0,0.125,0.1088709682226181,0.18269230425357819,0.1572580635547638,52,54,76,78
33,0.0,0.0,24.0,24.0,0.1875,0.1088709682226181,0.24519230425357819,0.1572580635547638,78,54,102,78
34,0.0,0.0,24.0,24.0,0.25,0.1088709682226181,0.3076923191547394,0.1572580635547638,104,54,128,78
35,0.0,0.0,24.0,24.0,0.3125,0.1088709682226181,0.3701923191547394,0.1572580635547638,130,54,154,78
36,0.0,0.0,24.0,24.0,0.375,0.1088709682226181,0.4326923191547394,0.1572580635547638,156,54,180,78
37,0.0,0.0,24.0,24.0,0.4375,0.1088709682226181,0.4951923191547394,0.1572580635547638,182,54,206,78
38,0.0,0.0,24.0,24.0,0.5,0.1088709682226181,0.557692289352417,0.1572580635547638,208,54,232,78
39,0.0,0.0,24.0,24.0,0.5625,0.1088709682226181,0.620192289352417,0.1572580635547638,234,54,258,78
40,0.0,0.0,24.0,24.0,0.625,0.1088709682226181,0.682692289352417,0.1572580635547638,260,54,284,78
41,0.0,0.0,24.0,24.0,0.6875,0.1088709682226181,0.745192289352417,0.1572580635547638,286,54,310,78
42,0.0,0.0,24.0,24.0,0.75,0.1088709682226181,0.807692289352417,0.1572580635547638,312,54,336,78
43,0.0,0.0,24.0,24.0,0.8125,0.1088709682226181,0.870192289352417,0.1572580635547638,338,54,362,78
44,0.0,0.0,24.0,24.0,0.875,0.1088709682226181,0.932692289352417,0.1572580635547638,364,54,388,78
45,0.0,0.0,24.0,24.0,0.0,0.16129031777381897,0.057692307978868484,0.20967741310596466,0,80,24,104
46,0.0,0.0,24.0,24.0,0.0625,0.16129031777381897,0.12019230425357819,0.20967741310596466,26,80,50,104
47,0.0,0.0,24.0,24.0,0.125,0.16129031777381897,0.18269230425357819,0.20967741310596466,52,80,76,104
