record_index,value_a_dec,value_a_hex,value_a_low16,value_a_high16,value_b_dec,value_b_hex,value_b_low16,value_b_high16,value_c_dec,value_c_hex,value_c_low16,value_c_high16,map_ref_count
0,0,0x00000000,0,0,0,0x00000000,0,0,196608,0x00030000,0,3,140
1,1,0x00000001,1,0,0,0x00000000,0,0,196608,0x00030000,0,3,0
2,2,0x00000002,2,0,0,0x00000000,0,0,196608,0x00030000,0,3,0
3,3,0x00000003,3,0,0,0x00000000,0,0,196608,0x00030000,0,3,0
4,4,0x00000004,4,0,0,0x00000000,0,0,196608,0x00030000,0,3,0
5,5,0x00000005,5,0,0,0x00000000,0,0,196608,0x00030000,0,3,0
6,6,0x00000006,6,0,0,0x00000000,0,0,196608,0x00030000,0,3,0
7,7,0x00000007,7,0,0,0x00000000,0,0,196608,0x00030000,0,3,0
8,8,0x00000008,8,0,0,0x00000000,0,0,196608,0x00030000,0,3,0
9,9,0x00000009,9,0,0,0x00000000,0,0,196608,0x00030000,0,3,0
10,10,0x0000000A,10,0,0,0x00000000,0,0,196608,0x00030000,0,3,0
11,11,0x0000000B,11,0,0,0x00000000,0,0,196608,0x00030000,0,3,0
